,y,z,phi,vy,vz,phi_dot
0,0.0,0.81642,0.0,0.0,0.0,0.0
1,8.197805175563061e-17,0.816419999999957,-1.0027896240103186e-12,3.279122070225213e-14,-8.632117243223573e-12,-2.0055792480206309e-10
2,1.0031053393619974e-15,0.8164199999998756,-2.3692621698130157e-13,1.3891237011397556e-13,-7.687042113957453e-12,3.537306062078659e-10
3,2.1725641719802503e-15,0.8164199999998036,3.343570536443295e-13,8.563891493484919e-14,-6.678799735482262e-12,-2.3947395208274e-10
4,3.0932269084679538e-15,0.8164199999997419,-6.326699679538956e-14,1.0499478558744742e-13,-5.665228286488869e-12,1.5994914199479637e-10
5,4.022246228144393e-15,0.8164199999996903,1.9609171322571968e-13,7.656856343895269e-14,-4.68935112962755e-12,-1.0807739999057464e-10
6,4.794934358883908e-15,0.816419999999648,1.465798607171437e-14,8.093550414794512e-14,-3.778737323045798e-12,7.179065455977367e-11
7,5.529052151874618e-15,0.8164199999996142,1.2913683888299008e-13,6.401632520671655e-14,-2.9575986104646367e-12,-4.8894883997518575e-11
8,6.152708623771854e-15,0.8164199999995884,4.5182445802547975e-14,6.20876234996057e-14,-2.2319923687064208e-12,3.210400538143019e-11
9,6.72114356820417e-15,0.8164199999995694,9.453139378957002e-14,5.079251008726437e-14,-1.6077272846359888e-12,-2.223421578402581e-11
10,7.204143088680694e-15,0.8164199999995558,5.4585254898376105e-14,4.646051337891477e-14,-1.0859757537673456e-12,1.4244988005787044e-11
11,7.62868242257604e-15,0.8164199999995471,7.472537320107992e-14,3.8118062465903284e-14,-6.607159264149241e-13,-1.0216964345246289e-11
12,7.983198236508856e-15,0.8164199999995422,5.4717832200916737e-14,3.311222361601296e-14,-3.182165642101609e-13,6.215456145213661e-12
13,8.281818884276075e-15,0.8164199999995402,6.182922424449961e-14,2.6495634677517522e-14,-5.305977879288469e-14,-4.793177736497092e-12
14,8.521257706305272e-15,0.8164199999995406,5.09266316278428e-14,2.1570387117604027e-14,1.4649614854534002e-13,2.612659213165733e-12
15,8.709733872703173e-15,0.8164199999995427,5.2300858635582106e-14,1.610237755039921e-14,2.855848890703801e-13,-2.3378138116178695e-12
16,8.847560617500222e-15,0.8164199999995462,4.5629572240083946e-14,1.1572046941576744e-14,3.755928901227912e-13,1.0035565325182386e-12
17,8.940167507665375e-15,0.8164199999995502,4.4551487854850925e-14,6.966957771152633e-15,4.235367612182041e-13,-1.2191734095648418e-12
18,8.989360167930289e-15,0.8164199999995542,3.991646542207781e-14,2.9473568986065277e-15,4.4188652736920866e-13,2.921689230102221e-13
19,8.999183486371759e-15,0.8164199999995582,3.7866020902283084e-14,-9.49168442414156e-16,4.4073189542359834e-13,-7.022578269691653e-13
20,8.9719858659542e-15,0.8164199999995622,3.42788467664869e-14,-4.4317053439775515e-15,4.2408743183841813e-13,-1.5177000190068136e-14
21,8.911060227014236e-15,0.8164199999995662,3.192066155409529e-14,-7.714866115792758e-15,3.9760195136296025e-13,-4.564600422882507e-13
22,8.818871728525807e-15,0.8164199999995702,2.893483797971514e-14,-1.067401536645199e-14,3.590727715163687e-13,-1.407046725877759e-13
23,8.698247717399869e-15,0.8164199999995735,2.656597562146924e-14,-1.3412055959178096e-14,3.155875560878503e-13,-3.3306779906140224e-13
24,8.551580420085651e-15,0.8164199999995765,2.3977713919245843e-14,-1.587908542483378e-14,2.6757263071886144e-13,-1.845845413832758e-13
25,8.381363291571766e-15,0.8164199999995787,2.1728214845786792e-14,-1.8127560968092484e-14,2.2206236849342694e-13,-2.653152733085325e-13
26,8.189833918959762e-15,0.8164199999995807,1.9440371239086824e-14,-2.014090731133834e-14,1.8273382806910526e-13,-1.9225344803146058e-13
27,7.979216195254448e-15,0.8164199999995825,1.7364722222912916e-14,-2.1948700568310013e-14,1.438849039914216e-13,-2.2287635520332084e-13
28,7.751560381075113e-15,0.8164199999995838,1.5329415388381916e-14,-2.3549185000812318e-14,1.1040057756872674e-13,-1.8418501170287809e-13
29,7.508853994693687e-15,0.8164199999995848,1.3445982634503897e-14,-2.4961298149946954e-14,8.236966664299072e-14,-1.9250153907272408e-13
30,7.252951113191617e-15,0.8164199999995855,1.1635775032877326e-14,-2.618968125617989e-14,5.6630256040080986e-14,-1.695399812525887e-13
31,6.985623524801494e-15,0.8164199999995857,9.94803325152087e-15,-2.724824184371978e-14,3.53672646724599e-14,-1.6800837501870085e-13
32,6.708530002025504e-15,0.8164199999995857,8.34486353284245e-15,-2.8144250886577493e-14,1.922018100231158e-14,-1.526255687169828e-13
33,6.423241534871848e-15,0.8164199999995857,6.847299342603698e-15,-2.888895736964323e-14,9.183764859700139e-15,-1.4688726933076675e-13
34,6.131228746914521e-15,0.8164199999995857,5.436831771045521e-15,-2.949053907702706e-14,1.7053025658250616e-15,-1.352062449808678e-13
35,5.83387468504915e-15,0.8164199999995857,4.121066837380354e-15,-2.995876053938137e-14,-3.339550858071665e-15,-1.279467417521647e-13
36,5.5324709238795055e-15,0.8164199999995857,2.8901060236541728e-15,-3.0301865485243034e-14,-8.117950756058353e-15,-1.1824542099307046e-13
37,5.2282249310370644e-15,0.8164199999995857,1.745232837946102e-15,-3.052861440665848e-14,-1.1795009413616878e-14,-1.1072921614854298e-13
38,4.922260275097807e-15,0.8164199999995857,6.809673928091331e-16,-3.0646916041164725e-14,-1.5116796703295355e-14,-1.021238728788502e-13
39,4.6156211191199346e-15,0.8164199999995857,-3.0414176767328925e-16,-3.066480861963583e-14,-1.8189894035457805e-14,-9.48979592176337e-14
40,4.309274185167182e-15,0.8164199999995857,-1.2141310631107579e-15,-3.058969984593419e-14,-1.9149126728733948e-14,-8.709989986985947e-14
41,4.004112343057088e-15,0.8164199999995857,-2.0510839028729773e-15,-3.0428984397154095e-14,-2.1191937094044243e-14,-8.029066808258384e-14
42,3.7009569580644215e-15,0.8164199999995857,-2.818847858326238e-15,-3.018953966070743e-14,-2.1529444893530286e-14,-7.326212300806786e-14
43,3.400561391923176e-15,0.8164199999995857,-3.5196895190140835e-15,-2.987811480638931e-14,-2.2382096176442407e-14,-6.69062091295007e-14
44,3.103613457079952e-15,0.8164199999995857,-4.157116866167607e-15,-2.950105022512945e-14,-2.268407683914044e-14,-6.057926030120358e-14
45,2.810738662877486e-15,0.8164199999995857,-4.733492164977896e-15,-2.906448487922806e-14,-2.2861712523080455e-14,-5.469579946085374e-14
46,2.522502736208557e-15,0.8164199999995857,-5.252518469207167e-15,-2.857421437448357e-14,-2.2968293933444468e-14,-4.9109461385000196e-14
47,2.2394150024899907e-15,0.8164199999995857,-5.7161604562607166e-15,-2.8035751822741258e-14,-2.303934820702047e-14,-4.361893602570963e-14
48,1.961930560008478e-15,0.8164199999995857,-6.127665800657167e-15,-2.745440856118011e-14,-2.3128166048990478e-14,-3.868213285358042e-14
49,1.6904533098280838e-15,0.8164199999995857,-6.489656168582291e-15,-2.6835122932382933e-14,-2.3216983890960485e-14,-3.3715940731444175e-14
50,1.4253385919668368e-15,0.8164199999995857,-6.804914032135082e-15,-2.618266617379724e-14,-2.32702745961425e-14,-2.9335631979113735e-14
51,1.1668959072326417e-15,0.8164199999995857,-7.076287633026527e-15,-2.5501433814667047e-14,-2.3305801732930512e-14,-2.4939088199175062e-14
52,9.153916458237617e-16,0.8164199999995857,-7.305889457971305e-15,-2.4795664477270882e-14,-2.3376856006506514e-14,-2.098127678978058e-14
53,6.710512288970754e-16,0.8164199999995857,-7.495942951705635e-15,-2.4069311533443657e-14,-2.3447910280082516e-14,-1.7029421957085207e-14
54,4.3406131810584124e-16,0.8164199999995857,-7.64912916505912e-15,-2.332616603021469e-14,-2.3483437416870527e-14,-1.3607820713611668e-14
55,2.0457244743855638e-16,0.8164199999995857,-7.768607892494356e-15,-2.256965462604858e-14,-2.3501200985264532e-14,-1.0287924773436115e-14
56,-1.7298102486690464e-17,0.8164199999995857,-7.855259702510465e-15,-2.18030386019069e-14,-2.3554491690446548e-14,-7.042437229786479e-15
57,-2.314651306335034e-16,0.8164199999995857,-7.911477387402666e-15,-2.1029447868307574e-14,-2.3607782395628564e-14,-4.201099748653489e-15
58,-4.3787325003002164e-16,0.8164199999995857,-7.940165203825405e-15,-2.0251706965197442e-14,-2.3643309532416574e-14,-1.5364635358942674e-15
59,-6.364941599014271e-16,0.8164199999995857,-7.943256202637043e-15,-1.947242447125291e-14,-2.3714363805992576e-14,9.182637735664295e-16
60,-8.273247146914084e-16,0.8164199999995857,-7.92213615113578e-15,-1.8694031799585287e-14,-2.378541807956858e-14,3.3057465266852045e-15
61,-1.010385424075964e-15,0.8164199999995857,-7.879362780507083e-15,-1.7918809421935537e-14,-2.382094521635659e-14,5.248927599054127e-15
62,-1.185718178898638e-15,0.8164199999995857,-7.815790317574092e-15,-1.7148780952368143e-14,-2.3838708784750594e-14,7.465564987543324e-15
63,-1.3533851356882016e-15,0.8164199999995857,-7.733963806569287e-15,-1.6385948268999446e-14,-2.389199948993261e-14,8.899737213417753e-15
64,-1.5134664438832778e-15,0.8164199999995857,-7.635380111995649e-15,-1.5631925213421953e-14,-2.3945290195114626e-14,1.0817001701309798e-14
65,-1.6660587060762699e-15,0.8164199999995857,-7.521360481228788e-15,-1.488839144613942e-14,-2.3980817331902637e-14,1.1986924452062084e-14
66,-1.8112736315543416e-15,0.8164199999995857,-7.393666022752181e-15,-1.415668145387097e-14,-2.3980817331902637e-14,1.3551967243259482e-14
67,-1.9492364076885338e-15,0.8164199999995857,-7.25328625002323e-15,-1.3438168982251487e-14,-2.4034108037084652e-14,1.4523987302531138e-14
68,-2.0800846025977387e-15,0.8164199999995857,-7.1019879906131165e-15,-1.2733943726130882e-14,-2.4069635173872663e-14,1.573566457949133e-14
69,-2.203966604068912e-15,0.8164199999995857,-6.940209232618921e-15,-1.204510165079689e-14,-2.4087398742266668e-14,1.662008701934784e-14
70,-2.321040848403586e-15,0.8164199999995857,-6.771236337622305e-15,-1.1372509922971021e-14,-2.4087398742266668e-14,1.717449197997535e-14
71,-2.4314731904470962e-15,0.8164199999995857,-6.593938598051302e-15,-1.071685730377297e-14,-2.4140689447448684e-14,1.8285055934225226e-14
72,-2.535437391423645e-15,0.8164199999995857,-6.410369326658564e-15,-1.0078984249123925e-14,-2.4176216584236695e-14,1.8428798344321865e-14
73,-2.633113373953776e-15,0.8164199999995857,-6.222471455448516e-15,-9.459284387096584e-15,-2.41939801526307e-14,1.915077589768777e-14
74,-2.724685532778848e-15,0.8164199999995857,-6.029426272490306e-15,-8.858303666659088e-15,-2.4176216584236695e-14,1.9458260693954458e-14
75,-2.8103430804032034e-15,0.8164199999995857,-5.8332499262767e-15,-8.276413341472435e-15,-2.4211743721024705e-14,1.977700854876682e-14
76,-2.8902784227032788e-15,0.8164199999995857,-5.634469868772562e-15,-7.713905172482798e-15,-2.4247270857812716e-14,1.9979002952060898e-14
77,-2.964686478765085e-15,0.8164199999995857,-5.434115462678165e-15,-7.170981834418158e-15,-2.426503442620672e-14,2.009187826681853e-14
78,-3.033763756916302e-15,0.8164199999995857,-5.232667988721593e-15,-6.647767462024434e-15,-2.4247270857812716e-14,2.019761652449553e-14
79,-3.0977078318981275e-15,0.8164199999995857,-5.030680728305333e-15,-6.144350026048211e-15,-2.4282797994600726e-14,2.0199835558756282e-14
80,-3.1567167817246893e-15,0.8164199999995857,-4.8290281565113e-15,-5.66073695881298e-15,-2.4300561562994732e-14,2.0130678800050587e-14
81,-3.2109883731492046e-15,0.8164199999995857,-4.628375957918751e-15,-5.196861989537007e-15,-2.4300561562994732e-14,1.9999760918459486e-14
82,-3.2607194196634076e-15,0.8164199999995857,-4.42904602959041e-15,-4.75260635763168e-15,-2.4282797994600726e-14,1.9866224747208352e-14
83,-3.306105430904236e-15,0.8164199999995857,-4.231442319561739e-15,-4.327826711192965e-15,-2.4318325131388737e-14,1.96545172585258e-14
84,-3.3473401998675945e-15,0.8164199999995857,-4.036252823354818e-15,-3.922318429741692e-15,-2.4336088699782742e-14,1.9383381982858168e-14
85,-3.384615171537831e-15,0.8164199999995857,-3.843916824530596e-15,-3.535820597886334e-15,-2.4336088699782742e-14,1.908381778198586e-14
86,-3.4181190431210897e-15,0.8164199999995857,-3.6542436038465545e-15,-3.1680548759236037e-15,-2.4318325131388737e-14,1.8850826354822462e-14
87,-3.4480377987986764e-15,0.8164199999995857,-3.46827595256761e-15,-2.818736830692091e-15,-2.4353852268176747e-14,1.834270390096648e-14
88,-3.474553844533179e-15,0.8164199999995857,-3.286360088624888e-15,-2.4874466405839425e-15,-2.4389379404964758e-14,1.8040468887577844e-14
89,-3.4978456809202814e-15,0.8164199999995857,-3.1079928541557265e-15,-2.1738369411201004e-15,-2.4389379404964758e-14,1.7632978006254433e-14
90,-3.5180882094699816e-15,0.8164199999995857,-2.9341130505839524e-15,-1.8775117036082416e-15,-2.4371615836570753e-14,1.7142982708100247e-14
91,-3.535452025259405e-15,0.8164199999995857,-2.7644883865091445e-15,-1.5980248175339755e-15,-2.4407142973358763e-14,1.67819501068611e-14
92,-3.5501034741049983e-15,0.8164199999995857,-2.5998036204632194e-15,-1.3349575475096012e-15,-2.442490654175277e-14,1.6155003102324096e-14
93,-3.5622041585142075e-15,0.8164199999995857,-2.439486863104429e-15,-1.0878005133150213e-15,-2.442490654175277e-14,1.5908348369433766e-14
94,-3.5719113203762415e-15,0.8164199999995857,-2.283891016682601e-15,-8.561758511808719e-16,-2.4407142973358763e-14,1.52108209149319e-14
95,-3.579377559804019e-15,0.8164199999995857,-2.133498190358479e-15,-6.395309570846984e-16,-2.4442670110146774e-14,1.4867744349892527e-14
96,-3.584750407768075e-15,0.8164199999995857,-1.988362109955539e-15,-4.3741161064091487e-16,-2.446043367854078e-14,1.4159471730695296e-14
97,-3.5881722679902274e-15,0.8164199999995857,-1.84817418902099e-15,-2.492525062968044e-16,-2.446043367854078e-14,1.38781124562144e-14
98,-3.5897806466770674e-15,0.8164199999995857,-1.71315637062706e-15,-7.463077240191728e-17,-2.4442670110146774e-14,1.3125451222571538e-14
99,-3.589708023167887e-15,0.8164199999995857,-1.5829800988411128e-15,8.702709219430681e-17,-2.4478197246934784e-14,1.2909803134617889e-14
100,-3.588082075252903e-15,0.8164199999995857,-1.4579528037007414e-15,2.361182945270202e-16,-2.449596081532879e-14,1.2095655893456383e-14
101,-3.585025441109232e-15,0.8164199999995857,-1.3382408389230825e-15,3.7325124358325376e-16,-2.449596081532879e-14,1.184673706207538e-14
102,-3.722079535074234e-15,0.8164199999994657,1.7287330601903619e-12,-5.6070735801507275e-14,-2.3971722384885725e-11,3.460024134687938e-10
103,-9.591180612885682e-15,0.8164199999959597,5.283079074963123e-11,-1.9532681174192677e-12,-6.772375904517977e-10,9.874409124419347e-09
104,-9.068727830500784e-14,0.816419999975711,3.9017129090223316e-10,-1.97814684469615e-11,-3.3725322623468043e-09,5.759369090610083e-08
105,-6.254828320548807e-13,0.8164199999153883,1.5952970040503032e-09,-1.0688144664453937e-10,-8.692032107404682e-09,1.8343145172351245e-07
106,-2.867553732632196e-12,0.8164199997541509,4.540963299154285e-09,-3.8969437009876325e-10,-2.35554453986709e-08,4.0570180729728223e-07
107,-9.820255135607014e-12,0.8164199993496178,1.061747741540645e-08,-1.1001968820702285e-09,-5.7351161082408646e-08,8.096010159531472e-07
108,-2.7614613586860756e-11,0.8164199984556916,2.190399196983449e-08,-2.643209200599861e-09,-1.2143412316589812e-07,1.4477018949324541e-06
109,-6.755901209385421e-11,0.8164199967210172,4.129134946039059e-08,-5.662653459506497e-09,-2.2550077706462508e-07,2.4297696031787557e-06
110,-1.4899923501821364e-10,0.8164199937302568,7.277736767564732e-08,-1.1140186750987394e-08,-3.726513108482636e-07,3.867434039872573e-06
111,-3.0324886330840424e-10,0.8164199890891465,1.215714288723985e-07,-2.0507520320054106e-08,-5.555707129022748e-07,5.891378199477631e-06
112,-5.787195965746498e-10,0.816419982556154,1.9433819075547375e-07,-3.577636051952006e-08,-7.510277860245894e-07,8.661974177137376e-06
113,-1.047464669053364e-09,0.8164199742066667,2.9926309240214905e-07,-5.968817318301307e-08,-9.188696913353058e-07,1.2323006152197623e-05
